"name","state","year","sbprim","sbsec","bac08","pbt","admin","txt","hha","hhlearn","intlck1","intlck15","intlck2","mlda21","totpop","avgage","pcinc","income","lim70","totfat","occfat","noccfat","milrur","milurb","vmtrur","vmturb","fueltax","laborfrc2","emp2","unemp2","unemprte","vcrimetot","pcrimetot","vcrimerte","pcrimerte","rurdense","urbdense","fatalities_per_100k","occfat_per_100k","noccfat_per_100k","log_totfat","log_pop","total_vmt","first_year_lim70","rel_year","lead_6_plus","lead_5","lead_4","lead_3","lead_2","lag_0","lag_1","lag_2","lag_3","lag_4","lag_5","lag_6_plus"
"Alaska","AK",1996,0,1,0,1,1,0,0,0,0,0,0,1,605212,31.4453544616699,26550,16157384,0,81,68,13,11460,1795,2053,2062,8,NA,NA,NA,7.84000015258789,4417,28667,727.700012207031,4722.7001953125,0.179144844412804,1.14874649047852,13.3837399126257,11.2357322723277,2.14800764029795,4.39444915467244,13.3133340888557,4115,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",1997,0,1,0,1,1,0,0,0,0,0,0,1,609655,31.6014747619629,27795,17037751,0,77,66,11,10982,1792,2309,2078,8,NA,NA,NA,7.86999988555908,4270,27840,701.099975585938,4571.39990234375,0.21025313436985,1.15959823131561,12.6300940695967,10.8257949167972,1.80429915279953,4.34380542185368,13.3206485023818,4387,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",1998,0,1,0,1,1,0,0,0,0,0,0,1,615205,31.1498966217041,28740,17817135,0,70,60,10,10870,1809,2347,2167,8,313082,293940,19142,6.11405324935913,4015,25316,653.900024414062,4123.10009765625,0.215915367007256,1.19789934158325,11.3783210474557,9.75284661210491,1.62547443535082,4.24849524204936,13.3297108245788,4514,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",1999,0,1,0,1,1,0,0,0,0,0,0,1,619500,31.2515735626221,29434,18389936,0,79,69,10,10858,1808,2373,2172,8,315000,295000,20000,6.40000009536743,3908,23099,630.799987792969,3728.69995117188,0.218548536300659,1.20132744312286,12.7522195318805,11.138014527845,1.61420500403551,4.36944785246702,13.3366679800513,4545,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",2000,0,1,0,1,1,0,0,0,0,0,0,1,627963,31.891450881958,31491,19775308,0,106,91,15,11014,1809,2374,2239,8,322000,301000,21000,6.59999990463257,3554,23087,566.900024414062,3682.5,0.215543851256371,1.23770034313202,16.8799754125641,14.4912996466352,2.38867576592888,4.66343909411207,13.3502365265172,4613,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",2001,0,1,0,1,1,0,0,0,0,0,0,1,633714,32.2176094055176,32836,20808479,0,89,81,8,11816,1812,2452,2269,8,322000,302000,20000,6.30000019073486,3735,23160,589.5,3655.10009765625,0.207515239715576,1.2522075176239,14.0441902814203,12.7817911550005,1.2623991264198,4.48863636973214,13.3593530275404,4721,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",2002,0,1,1,1,1,0,0,0,0,0,0,1,642337,32.5123748779297,33868,21754791,0,89,72,17,12273,1844,2562,2334,8,323000,298000,25000,7.69999980926514,3627,24118,565.400024414062,3759.69995117188,0.208750918507576,1.26572668552399,13.8556552090258,11.2090693825827,2.64658582644313,4.48863636973214,13.3728683670671,4896,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",2003,0,1,1,1,1,0,0,0,0,0,0,1,648414,32.8267440795898,34888,22622104,0,98,85,13,12160,2069,2419,2523,8,332000,305000,27000,8,3877,24386,598,3761.60009765625,0.19893091917038,1.21942973136902,15.1138007507549,13.1089088144303,2.00489193632463,4.58496747867057,13.3822846602207,4942,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",2004,0,1,1,1,1,0,0,0,0,0,0,1,659286,33.1206855773926,35789,23595080,0,101,89,12,12013,2095,2442,2548,8,331000,306000,25000,7.5,4159,22172,632.299987792969,3370.89990234375,0.20327977836132,1.21622908115387,15.3196033284493,13.4994524379404,1.82015089050882,4.61512051684126,13.3989127102331,4990,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",2005,0,1,1,1,1,0,0,0,0,0,0,1,666946,33.4121284484863,37446,24974740,0,73,64,9,12114,2255,2466,2569,8,341000,318000,23000,6.69999980926514,4194,23975,632,3615,0.203566119074821,1.13924610614777,10.9454138715878,9.59597928467972,1.34943458690809,4.29045944114839,13.4104643621001,5035,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
